"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Artemi Panarin","21-22","NYR","C/L",61,939.8,54.75,46.56,47.61,47.94,46.25,2.62,2.17,28.27,32.44,40.79,44.88,54.69,59.38,2.41,2.8,0.46,-4.17,-4.09,-4.69,-0.39,9.28,93.32
"Arthur Kaliyev","21-22","L.A","R",67,721.62,52.24,60.48,58.84,58.17,55.93,2.23,2.04,34.83,22.75,47.09,32.95,60.69,43.65,2.68,2.11,0.19,12.07,14.14,17.04,0.57,6.4,91.04
"Arttu Ruotsalainen","21-22","BUF","C",18,188.52,42.02,45.57,45.88,46.18,46.05,1.58,2.17,28.24,33.73,37.92,44.72,50.24,58.55,2.04,2.39,-0.6,-5.49,-6.8,-8.31,-0.35,5.58,93.56
"Artturi Lehkonen","21-22","MTL","L",58,670.7,49.46,52.38,50.51,50.76,54.97,2.42,2.47,32.77,29.8,42.03,41.18,56.23,54.55,2.79,2.29,-0.05,2.98,0.85,1.68,0.5,7.38,91.7
"Austin Czarnik","21-22","NYI","C",11,110.6,72.23,52.5,52.88,50.58,52.74,4.27,1.64,28.54,25.82,34.65,30.88,44.31,43.29,2.14,1.92,2.63,2.72,3.78,1.02,0.22,14.98,93.63
"Austin Czarnik","21-22","SEA","C",6,58.02,50.08,51.46,51.6,55.87,41.69,3.19,3.17,26,24.52,39.8,37.33,63.44,50.11,1.79,2.5,0.01,1.48,2.47,13.33,-0.71,12.25,87.05
"Austin Poganski","21-22","WPG","R",16,146.07,40.44,44.16,45.34,45.13,42.89,1.65,2.43,23.37,29.55,33.04,39.83,44.67,54.32,1.78,2.37,-0.78,-6.18,-6.79,-9.64,-0.59,7.07,91.77
"Austin Strand","21-22","L.A","D",8,112.25,44.93,58.07,55.58,57.43,55.49,2.18,2.67,34.58,24.97,43.56,34.81,56.68,42.01,2.62,2.1,-0.49,9.61,8.74,14.66,0.52,6.31,89.3
"Austin Watson","21-22","OTT","L",50,509.48,34.68,42.83,44.45,42.83,41.96,1.3,2.44,24.16,32.25,35.32,44.15,46.72,62.38,1.77,2.45,-1.14,-8.09,-8.82,-15.65,-0.68,5.36,92.43
"Auston Matthews","21-22","TOR","C",60,979.5,58.16,59.38,60.32,60.44,64.14,4.31,3.1,38.69,26.47,54.34,35.74,70.69,46.26,3.66,2.05,1.21,12.22,18.6,24.42,1.61,11.14,88.28
"Axel Jonsson-Fjallby","21-22","WSH","L",21,220.6,60.75,51.23,50.09,47.04,51.95,1.67,1.08,27.41,26.09,38.71,38.57,45.62,51.36,1.99,1.84,0.59,1.31,0.13,-5.74,0.15,6.08,95.87
"Barclay Goodrow","21-22","NYR","C",63,837.08,58.48,44.58,44.69,43.49,44.3,2.73,1.94,24.85,30.9,35.14,43.5,46.21,60.05,2.14,2.7,0.79,-6.05,-8.36,-13.84,-0.55,10.98,93.73
"Barrett Hayton","21-22","ARI","C",44,538.33,47.36,43.92,44.2,45.17,42.84,2.31,2.57,26.77,34.19,35.89,45.31,47.97,58.22,2,2.67,-0.26,-7.42,-9.42,-10.25,-0.67,8.65,92.47
"Beck Malenstyn","21-22","WSH","L",12,99.58,63.46,55.73,55.71,55.88,56.06,3.02,1.74,29.91,23.76,40.15,31.92,54.2,42.79,2.23,1.75,1.28,6.15,8.23,11.41,0.48,10.11,92.67
"Ben Chiarot","21-22","FLA","D",3,54.67,26.63,67.05,59.55,60.31,59.13,1.16,3.2,46.88,23.04,56.82,38.6,75.44,49.65,4.16,2.88,-2.04,23.85,18.22,25.79,1.28,2.48,86.09
"Ben Chiarot","21-22","MTL","D",54,978.53,38.58,43.44,43.7,44.26,43.14,1.95,3.1,28.25,36.78,38.18,49.18,50.83,64,2.29,3.01,-1.15,-8.54,-11.01,-13.17,-0.73,6.9,91.57
"Ben Harpur","21-22","NSH","D",19,233.87,22.13,43.76,47.1,45.03,42.49,1.07,3.76,23.72,30.48,37.28,41.86,48.29,58.96,1.89,2.56,-2.69,-6.76,-4.58,-10.67,-0.67,4.5,87.68
"Ben Hutton","21-22","VGK","D",44,633.22,53.35,53.52,54.46,52.86,52.19,2.76,2.41,32.9,28.57,45.6,38.13,60.39,53.86,2.6,2.38,0.35,4.33,7.47,6.53,0.22,8.38,91.56
"Benoit-Olivier Groulx","21-22","ANA","C",18,164.77,44.33,43.46,41.95,44.23,40.62,1.44,1.81,25.37,33,34.51,47.75,48.76,61.48,1.92,2.81,-0.37,-7.63,-13.25,-12.72,-0.89,5.67,94.53
"Blake Coleman","21-22","CGY","C",64,829.02,55.29,59.43,59.32,59.24,57.88,2.51,2.03,37.45,25.57,51.43,35.27,67.85,46.69,3.03,2.2,0.48,11.88,16.16,21.16,0.82,6.7,92.07
"Blake Comeau","21-22","DAL","L",6,61.97,49.27,53.01,51.06,48.66,55,1.96,2.01,22.92,20.31,32.51,31.17,42.92,45.28,1.6,1.31,-0.06,2.6,1.35,-2.36,0.29,8.53,90.09
"Blake Lizotte","21-22","L.A","C",61,638.43,56.35,57.61,55.49,56.81,51.28,2.45,1.9,32.67,24.04,44.34,35.57,61.23,46.55,2.41,2.29,0.55,8.63,8.77,14.68,0.12,7.49,92.11
"Blake Wheeler","21-22","WPG","R",53,803.92,49.01,50.46,49.76,50.39,46.2,2.59,2.69,32.74,32.15,44.7,45.14,59.68,58.75,2.65,3.09,-0.1,0.59,-0.44,0.93,-0.44,7.9,91.63
"Bo Horvat","21-22","VAN","C",63,892.97,52.66,51.18,50.63,50.68,48.08,2.24,2.01,34.41,32.82,45.36,44.23,59.65,58.04,2.34,2.53,0.23,1.59,1.13,1.61,-0.19,6.5,93.87
"Boone Jenner","21-22","CBJ","C",59,878.8,47.59,44.37,45.25,45.48,41.29,2.95,3.25,30.03,37.66,42.12,50.96,55.04,65.98,2.31,3.29,-0.3,-7.63,-8.84,-10.95,-0.98,9.83,91.37
"Boris Katchouk","21-22","CHI","L",6,63.23,20.04,26.96,29.54,28.24,35.94,0.94,3.75,17.43,47.22,25.17,60.04,32.03,81.4,1.7,3.03,-2.81,-29.79,-34.86,-49.37,-1.33,5.39,92.06
"Boris Katchouk","21-22","T.B","L",38,358.5,58.63,53.12,53.8,53.06,55.47,1.87,1.32,28.86,25.48,42.54,36.53,54.9,48.57,2.42,1.94,0.55,3.39,6.02,6.33,0.48,6.48,94.82
"Bowen Byram","21-22","COL","D",18,311.45,54.05,53.19,53.62,55.85,53.7,2.7,2.29,33.5,29.49,44.89,38.82,64.32,50.85,2.53,2.18,0.4,4.01,6.07,13.47,0.35,8.05,92.23
"Brad Hunt","21-22","VAN","D",37,512.92,48.28,51.55,50.91,50.16,50.81,2.57,2.76,33.72,31.68,45.13,43.51,59.03,58.67,2.57,2.49,-0.18,2.03,1.62,0.36,0.08,7.64,91.29
"Brad Malone","21-22","EDM","C",8,55.75,32.59,46.42,45.96,48.9,49.26,2.03,4.21,27.82,32.11,34.95,41.09,48.06,50.22,2.5,2.57,-2.17,-4.29,-6.15,-2.15,-0.08,7.31,86.9
"Brad Marchand","21-22","BOS","C/L",54,709.53,58.33,64.93,64.02,62.99,65.65,3.2,2.28,45.47,24.56,58,32.6,72.86,42.81,3.06,1.6,0.91,20.91,25.4,30.05,1.46,7.03,90.7
"Brad Richardson","21-22","CGY","R",27,254.12,39.51,45.14,47.11,47.39,44.78,1.18,1.81,24.99,30.38,37.15,41.7,49.45,54.89,1.81,2.24,-0.63,-5.38,-4.55,-5.44,-0.42,4.73,94.04
"Braden Schneider","21-22","NYR","D",28,418.38,56.34,42.03,41.21,42,42.56,1.87,1.45,23.6,32.55,32.13,45.83,43.79,60.47,1.97,2.66,0.42,-8.95,-13.7,-16.68,-0.69,7.94,95.54
"Brady Skjei","21-22","CAR","D",66,1148.2,60.2,54.61,54.49,55.6,53.78,2.83,1.87,35.76,29.72,49.15,41.05,64.71,51.68,3.1,2.66,0.96,6.04,8.1,13.03,0.44,7.93,93.69
"Brady Tkachuk","21-22","OTT","L",62,887.45,50.45,49.52,48.95,50.74,46.36,2.9,2.85,32.6,33.23,43.74,45.62,60.53,58.77,2.51,2.9,0.05,-0.63,-1.88,1.76,-0.39,8.9,91.43
"Brandon Carlo","21-22","BOS","D",63,1024.32,51.03,53.54,52.92,52.13,54.23,2.24,2.15,32.35,28.07,43.78,38.94,56.02,51.45,2.33,1.96,0.09,4.28,4.83,4.57,0.36,6.92,92.35
"Brandon Duhaime","21-22","MIN","R",62,588.27,45.02,51.08,49.66,51.34,48.38,2.23,2.73,30.76,29.46,41.94,42.51,58.39,55.35,2.03,2.17,-0.49,1.3,-0.57,3.04,-0.14,7.26,90.74
"Brandon Hagel","21-22","CHI","L",55,726.53,45.39,47.47,48.15,48.89,44.94,2.82,3.39,28.73,31.79,39.5,42.53,55.51,58.03,2.05,2.51,-0.57,-3.06,-3.03,-2.52,-0.46,9.81,89.33
"Brandon Hagel","21-22","T.B","L",5,52.97,35.67,46.48,45.83,47.5,52.19,1.21,2.19,31.08,35.78,41.41,48.96,55.25,61.06,3.24,2.97,-0.97,-4.7,-7.54,-5.81,0.27,3.9,93.89
"Brandon Montour","21-22","FLA","D",64,939.78,54.88,54.51,55.25,57.57,54.42,3.27,2.69,38.37,32.01,50.95,41.27,70.05,51.64,3.03,2.54,0.58,6.36,9.68,18.41,0.49,8.53,91.59
"Brandon Saad","21-22","STL","L",61,802.6,58.53,49.3,47.94,49.82,46.43,2.61,1.85,28.11,28.91,38.7,42.03,52.23,52.61,2.3,2.65,0.76,-0.8,-3.33,-0.38,-0.35,9.3,93.59
"Brandon Tanev","21-22","SEA","L",30,378.52,45.96,47.42,48.37,47.84,51.09,1.78,2.09,25.47,28.24,35.85,38.27,48.34,52.7,2.04,1.95,-0.31,-2.77,-2.42,-4.37,0.09,6.97,92.61
"Brayden McNabb","21-22","VGK","D",55,897.4,48.43,52.01,52.24,51.17,53.71,2.26,2.4,30.47,28.12,41.82,38.24,56.58,53.99,2.86,2.47,-0.15,2.35,3.59,2.59,0.4,7.4,91.46
"Brayden Point","21-22","T.B","C",51,746.57,52.41,51.07,52.02,51.94,53.67,3.55,3.23,32.46,31.1,46.07,42.5,58.85,54.45,2.99,2.58,0.33,1.36,3.57,4.4,0.41,10.94,89.63
"Brayden Schenn","21-22","STL","C",49,677.18,59.51,43.21,41.72,43.99,42.81,3.08,2.1,26.03,34.2,33.99,47.48,46.67,59.42,2.17,2.89,0.99,-8.17,-13.49,-12.75,-0.73,11.85,93.87
"Brendan Gallagher","21-22","MTL","R",43,520.88,43.98,49.98,49.04,49.24,48.27,2.19,2.78,32.58,32.6,43.53,45.23,58.95,60.77,2.84,3.04,-0.6,-0.02,-1.7,-1.83,-0.2,6.71,91.46
"Brendan Gaunce","21-22","CBJ","C",16,123,49.89,57.46,60.91,56.53,57.44,3.4,3.41,37.49,27.76,55.43,35.57,64.49,49.6,2.82,2.09,-0.01,9.73,19.86,14.89,0.73,9.06,87.72
"Brendan Guhle","21-22","ANA","D",6,85.63,53.53,39.35,44.38,42.29,42.66,3.35,2.91,22.71,35,33.2,41.61,43.03,58.72,1.53,2.05,0.44,-12.29,-8.41,-15.7,-0.53,14.75,91.69
"Brendan Lemieux","21-22","L.A","L",44,474.5,60.43,60.27,58.04,58.54,55.96,2.5,1.64,34.33,22.64,46.83,33.85,63.06,44.66,2.76,2.17,0.86,11.7,12.98,18.4,0.59,7.29,92.76
"Brendan Perlini","21-22","EDM","L",23,188.35,42.42,43.5,44.26,44.75,42.49,1.89,2.56,24.72,32.11,33.56,42.27,46.51,57.42,1.69,2.29,-0.68,-7.39,-8.71,-10.91,-0.6,7.64,92.01
"Brendan Smith","21-22","CAR","D",32,410.75,53.46,56.04,56.45,56.71,53.6,2.36,2.06,30.46,23.89,44.84,34.6,59.4,45.34,2.99,2.59,0.31,6.57,10.24,14.06,0.4,7.75,91.4
"Brenden Dillon","21-22","WPG","D",64,1088.53,55.21,48.67,48.29,48.41,46.48,2.66,2.16,30.34,31.99,42.08,45.06,55.79,59.45,2.6,2.99,0.5,-1.65,-2.98,-3.66,-0.39,8.76,93.26
"Brent Burns","21-22","S.J","D",65,1259.35,47.28,44.54,44.44,42.99,45.53,2.45,2.73,26.26,32.7,36.87,46.11,49.28,65.34,2.29,2.74,-0.28,-6.44,-9.23,-16.07,-0.45,9.32,91.66
"Brett Connolly","21-22","CHI","R",9,68.75,18.47,36.25,43.29,41.07,29.75,0.82,3.62,20.61,36.24,34.46,45.15,46.89,67.27,1.45,3.42,-2.8,-15.63,-10.69,-20.38,-1.97,3.98,90
"Brett Howden","21-22","VGK","C",47,471.88,57.02,51.19,51.37,49.02,53.62,3.08,2.32,28.74,27.4,40.48,38.32,52.9,55.02,2.75,2.38,0.76,1.34,2.16,-2.12,0.37,10.7,91.54
"Brett Kulak","21-22","MTL","D",56,917.38,43.05,48.74,46.49,47.44,47.95,2.29,3.03,28.22,29.68,35.85,41.26,49.67,55.03,2.32,2.52,-0.74,-1.45,-5.41,-5.36,-0.2,8.11,89.8
"Brett Leason","21-22","WSH","R",36,321.03,50.55,52.78,51.22,52.48,52.44,1.71,1.67,30.06,26.89,39.38,37.5,55.31,50.07,2.27,2.05,0.04,3.16,1.88,5.24,0.21,5.7,93.77
"Brett Murray","21-22","BUF","L",19,234.4,42.3,40.77,40.75,42,44.31,2.07,2.82,23.33,33.91,32.44,47.17,42.13,58.19,1.89,2.38,-0.75,-10.57,-14.73,-16.05,-0.49,8.86,91.68
"Brett Pesce","21-22","CAR","D",54,929.2,51.96,53.92,54.72,55.67,53.33,2.72,2.52,35.27,30.13,50.18,41.53,65.45,52.12,3.14,2.74,0.21,5.13,8.65,13.33,0.39,7.73,91.64
"Brett Ritchie","21-22","CGY","R",31,296.37,40.66,57.03,59.26,57.59,60.05,1.91,2.78,38.35,28.89,52.31,35.97,67.74,49.89,2.8,1.86,-0.88,9.46,16.34,17.85,0.94,4.97,90.36
"Brian Boyle","21-22","PIT","C",53,468.35,49.89,53.94,53.79,51.68,53.03,2.02,2.03,33.09,28.25,43.58,37.44,56.06,52.41,2.32,2.06,-0.01,4.84,6.14,3.65,0.27,6.11,92.81
"Brian Dumoulin","21-22","PIT","D",61,1135.22,57.65,52,51.72,50.07,52.73,2.75,2.02,33.81,31.21,44.38,41.44,56.79,56.64,2.64,2.37,0.73,2.6,2.94,0.15,0.27,8.12,93.54
"Brock Boeser","21-22","VAN","R",62,894.48,51.17,51.36,52.21,53.21,49.94,1.9,1.81,31.34,29.68,44.31,40.56,61.4,53.99,2.39,2.4,0.09,1.66,3.75,7.41,-0.01,6.06,93.89
"Brock McGinn","21-22","PIT","L",56,714.77,46.81,49.88,48.92,46.95,49.62,1.93,2.2,29.54,29.68,38.75,40.46,49.65,56.11,2.2,2.23,-0.26,-0.15,-1.71,-6.45,-0.03,6.54,92.6
"Brock Nelson","21-22","NYI","C",55,747.28,52.29,49.35,48.82,48.09,53.47,2.89,2.64,30.88,31.7,42.1,44.14,56.07,60.53,2.94,2.55,0.25,-0.82,-2.04,-4.45,0.38,9.35,91.69
"Bryan Rust","21-22","PIT","R",45,623.88,57.2,50.89,51.93,51.92,52.63,3.38,2.53,35.38,34.14,48.69,45.08,62.85,58.2,2.92,2.63,0.85,1.24,3.61,4.65,0.29,9.55,92.6
