Player,Season,Team,Position,GP,TOI,G,A1,A2,Points,iSF,iFF,iCF,ixG,Sh%,FSh%,xFSh%,iBLK,GIVE,TAKE,iHF,iHA,iPENT2,iPEND2,iPENT5,iPEND5,iPEN±,FOW,FOL,FO±
Anthony Mantha,20-21,DET/WSH,R,56,1014.93,15,10,4,29,138,186,236,11.72,10.87,8.06,6.3,27,30,11,49,39,10,9,1,2,0,18,23,-5
Antoine Roussel,20-21,VAN,L,35,402.7,1,3,0,4,28,41,49,3.14,3.57,2.44,7.66,18,14,9,63,43,11,4,1,1,-7,2,2,0
Anton Blidh,20-21,BOS,L,10,107.73,1,0,0,1,10,16,18,0.62,10,6.25,3.88,4,2,1,25,10,3,0,0,0,-3,0,2,-2
Anton Stralman,20-21,FLA,D,38,720.08,3,2,4,9,38,55,80,1.81,7.89,5.45,3.29,30,20,13,37,55,4,4,0,0,0,0,0,0
Anze Kopitar,20-21,L.A,C,56,1186.23,13,24,13,50,118,162,216,12.71,11.02,8.02,7.85,37,34,12,45,51,5,11,0,0,6,661,493,168
Artem Anisimov,20-21,OTT,C,19,228.48,2,4,3,9,30,44,56,2.93,6.67,4.55,6.66,9,7,4,9,16,1,0,0,0,-1,36,52,-16
Artem Zub,20-21,OTT,D,47,863.97,3,6,5,14,39,55,85,1.48,7.69,5.45,2.69,70,36,8,89,100,13,5,0,0,-8,0,0,0
Artemi Panarin,20-21,NYR,C,42,825,17,25,16,58,106,165,222,11.23,16.04,10.3,6.81,7,26,21,13,21,3,9,0,0,6,0,3,-3
Arttu Ruotsalainen,20-21,BUF,C,17,237.68,5,1,0,6,28,35,46,2.55,17.86,14.29,7.29,4,5,4,16,14,4,3,0,0,-1,4,6,-2
Artturi Lehkonen,20-21,MTL,L,47,630.92,7,2,4,13,78,100,128,6.8,8.97,7,6.8,23,13,3,85,64,3,8,0,0,5,5,8,-3
Austin Strand,20-21,L.A,D,13,180.05,0,0,1,1,11,19,27,0.52,0,0,2.74,15,1,2,14,17,4,1,0,0,-3,0,0,0
Austin Wagner,20-21,L.A,L,44,462.03,4,3,1,8,67,87,100,5.57,5.97,4.6,6.4,10,6,5,97,46,5,10,1,1,5,0,2,-2
Austin Watson,20-21,OTT,L,34,408.08,3,3,4,10,41,59,79,3.19,7.32,5.08,5.41,49,11,5,100,30,5,7,6,6,2,6,17,-11
Auston Matthews,20-21,TOR,C,52,1120.77,41,15,10,66,222,315,366,27.27,18.47,13.02,8.66,47,53,47,57,65,5,14,0,0,9,450,417,33
Barclay Goodrow,20-21,T.B,C,55,831.63,6,6,8,20,72,90,104,8.39,8.33,6.67,9.32,27,12,16,111,75,16,6,4,4,-10,162,162,0
Barrett Hayton,20-21,ARI,C,14,160.85,2,0,1,3,10,16,20,0.9,20,12.5,5.62,3,4,4,15,14,0,3,0,0,3,40,40,0
Ben Chiarot,20-21,MTL,D,41,893.28,1,4,2,7,81,111,157,3.2,1.23,0.9,2.88,60,51,9,77,84,15,3,4,4,-12,0,0,0
Ben Harpur,20-21,NSH,D,34,558.65,0,3,4,7,33,45,57,0.82,0,0,1.82,29,28,9,44,42,6,4,1,1,-2,0,0,0
Ben Hutton,20-21,ANA/TOR,D,38,701.44,1,1,3,5,54,68,101,2.28,1.85,1.47,3.35,39,22,8,44,62,3,2,1,1,-1,0,0,0
Ben Thomas,20-21,T.B,D,5,71.18,0,0,0,0,3,4,7,0.24,0,0,6,4,1,1,4,20,0,0,0,0,0,0,0,0
Blake Coleman,20-21,T.B,C,55,850.58,14,7,10,31,122,154,183,12.79,11.48,9.09,8.31,20,19,25,109,65,16,19,1,1,3,2,7,-5
Blake Comeau,20-21,DAL,L,51,802.75,4,6,4,14,76,99,134,8.08,5.26,4.04,8.16,18,17,21,106,43,11,9,1,1,-2,53,57,-4
Blake Lizotte,20-21,L.A,C,41,520.95,3,1,6,10,42,62,77,4.84,7.14,4.84,7.81,21,6,6,32,53,8,11,0,0,3,180,174,6
Blake Wheeler,20-21,WPG,R,50,917.03,15,20,11,46,113,144,169,12.55,13.27,10.42,8.72,30,16,25,63,56,20,10,0,0,-10,3,5,-2
Bo Horvat,20-21,VAN,C,56,1113.82,19,9,11,39,131,179,226,16.17,14.5,10.61,9.03,38,22,25,64,53,9,9,1,1,0,648,577,71
Bobby Ryan,20-21,DET,R,33,505.72,7,6,1,14,73,94,119,5.77,9.59,7.45,6.14,17,12,10,31,34,6,6,1,1,0,5,11,-6
Boone Jenner,20-21,CBJ,C,41,737.97,8,5,4,17,79,110,131,8.12,10.13,7.27,7.38,53,22,14,76,36,3,6,0,0,3,301,245,56
Bowen Byram,20-21,COL,D,19,332.72,0,1,1,2,21,28,43,0.99,0,0,3.54,13,5,1,33,45,9,3,1,1,-6,0,0,0
Brad Hunt,20-21,MIN,D,12,148,1,0,0,1,14,20,31,0.91,7.14,5,4.55,6,1,2,4,7,2,0,0,0,-2,0,0,0
Brad Marchand,20-21,BOS,C,53,1002.25,29,26,14,69,143,182,228,18.45,20.28,15.93,10.14,11,36,42,66,56,23,18,0,0,-5,11,24,-13
Brad Richardson,20-21,NSH,R,17,208.48,1,3,0,4,18,23,27,1.27,5.56,4.35,5.52,9,1,4,14,7,2,1,0,0,-1,76,72,4
Brady Skjei,20-21,CAR,D,52,1078.08,3,2,5,10,104,136,179,4.24,2.88,2.21,3.12,62,42,21,66,91,15,6,0,0,-9,0,0,0
Brady Tkachuk,20-21,OTT,L,56,1020.87,17,11,8,36,220,283,319,27,7.73,6.01,9.54,23,37,33,248,71,17,28,7,7,11,118,131,-13
Brandon Carlo,20-21,BOS,D,27,505.15,3,0,1,4,43,67,90,1.28,6.98,4.48,1.91,35,8,6,38,49,6,3,0,0,-3,0,0,0
Brandon Davidson,20-21,BUF,D,6,92.02,0,0,0,0,7,7,11,0.13,0,0,1.86,5,0,4,14,8,2,1,0,0,-1,0,0,0
Brandon Hagel,20-21,CHI,L,52,727.42,9,11,4,24,91,112,144,9.58,9.89,8.04,8.55,28,11,31,59,102,3,12,1,1,9,9,14,-5
Brandon Montour,20-21,BUF/FLA,D,50,1024.3,7,7,4,18,94,133,173,4.94,7.45,5.26,3.71,62,22,15,54,56,15,6,0,0,-9,0,0,0
Brandon Saad,20-21,COL,L,44,619.5,15,2,7,24,68,99,129,8.65,22.06,15.15,8.74,10,17,8,16,20,6,6,0,0,0,27,35,-8
Brandon Sutter,20-21,VAN,C,43,648.35,9,2,1,12,65,85,94,7.05,13.85,10.59,8.29,28,14,23,18,46,1,9,0,0,8,276,221,55
Brandon Tanev,20-21,PIT,L,32,461.93,7,5,4,16,43,55,62,5.56,16.28,12.73,10.11,33,11,26,139,81,1,4,2,1,2,3,8,-5
Brayden McNabb,20-21,VGK,D,41,791.25,2,1,5,8,39,64,108,2.06,5.13,3.12,3.22,76,13,8,98,66,8,6,0,0,-2,0,0,0
Brayden Point,20-21,T.B,C,56,1032.42,23,12,13,48,131,178,213,17.18,17.56,12.92,9.65,18,11,27,23,53,3,21,1,1,18,257,263,-6
Brayden Schenn,20-21,STL,C,56,1072.03,16,15,5,36,113,153,180,15.57,14.16,10.46,10.18,35,19,24,119,69,10,5,3,3,-5,318,290,28
Braydon Coburn,20-21,NYI/OTT,D,19,304.85,0,1,1,2,18,27,38,0.86,0,0,3.19,20,14,4,27,20,7,1,0,0,-6,0,0,0
Brendan Gallagher,20-21,MTL,R,35,525.33,14,3,6,23,106,143,177,12.25,13.21,9.79,8.57,12,9,7,46,33,8,12,0,0,4,23,19,4
Brendan Lemieux,20-21,L.A/NYR,L,49,496.49,4,5,2,11,50,67,94,4.44,8,5.97,6.63,26,13,8,109,41,14,19,5,5,5,6,20,-14
Brendan Smith,20-21,NYR,D,48,788.83,5,3,2,10,58,78,114,2.78,8.62,6.41,3.56,41,26,7,84,74,19,20,5,5,1,0,0,0
Brenden Dillon,20-21,WSH,D,56,1060.83,2,7,10,19,51,83,138,1.59,3.92,2.41,1.92,61,27,13,143,89,12,4,5,5,-8,0,0,0
Brent Burns,20-21,S.J,D,56,1463.93,7,14,8,29,138,194,294,7.99,5.07,3.61,4.12,94,47,36,31,29,18,6,0,0,-12,0,0,0
Brett Connolly,20-21,CHI/FLA,R,31,376.48,3,3,0,6,26,35,57,3.52,11.54,8.57,10.06,8,8,7,44,30,2,3,0,0,1,4,9,-5
Brett Howden,20-21,NYR,C,42,527.5,1,3,3,7,33,48,54,5.07,3.03,2.08,10.56,35,6,6,57,57,3,8,1,1,5,118,135,-17
Brett Kulak,20-21,MTL,D,46,740.95,2,4,2,8,57,72,113,1.92,3.51,2.78,2.67,54,33,8,28,85,10,4,0,0,-6,0,0,0
Brett Pesce,20-21,CAR,D,55,1253.57,4,13,8,25,89,144,231,4.39,4.49,2.78,3.05,82,26,21,17,80,10,16,0,0,6,0,0,0
Brett Ritchie,20-21,CGY,R,32,363.93,4,3,1,8,36,63,77,5.15,11.11,6.35,8.17,6,9,6,97,37,7,2,2,2,-5,3,6,-3
Brian Dumoulin,20-21,PIT,D,41,916.53,4,3,7,14,50,69,104,1.96,8,5.8,2.84,55,18,24,63,96,6,8,0,0,2,0,0,0
Brock Boeser,20-21,VAN,R,56,1081.9,23,16,10,49,141,195,247,19.1,16.31,11.79,9.79,20,31,16,32,28,8,6,0,0,-2,8,14,-6
Brock McGinn,20-21,CAR,L,37,554.47,8,2,3,13,58,81,102,5.88,13.79,9.88,7.26,12,9,16,44,44,3,10,0,0,7,3,11,-8
Brock Nelson,20-21,NYI,C,56,998.58,18,10,5,33,121,171,206,19.86,14.88,10.53,11.61,26,26,22,36,62,7,7,0,0,0,349,358,-9
Bryan Rust,20-21,PIT,R,56,1104.55,22,10,10,42,154,219,258,21.19,14.29,10.05,9.68,30,30,30,62,108,9,10,0,0,1,3,3,0
Buddy Robinson,20-21,CGY,R,9,64.23,0,0,0,0,6,8,13,0.5,0,0,6.25,0,2,4,14,5,0,1,0,0,1,1,2,-1
Cal Clutterbuck,20-21,NYI,R,50,671.82,4,6,1,11,50,73,93,7.13,8,5.48,9.77,23,12,18,191,74,5,6,0,0,1,0,1,-1
Cal Foote,20-21,T.B,D,35,451.12,1,1,1,3,40,61,78,1.62,2.5,1.64,2.66,29,5,1,39,57,7,4,1,1,-3,0,0,0
Cale Makar,20-21,COL,D,44,1069.57,8,22,14,44,104,141,225,5.92,7.69,5.67,4.2,36,21,32,49,41,6,13,0,0,7,0,0,0
Caleb Jones,20-21,EDM,D,33,449.03,0,3,1,4,23,31,55,0.68,0,0,2.19,35,35,9,27,53,3,5,0,0,2,0,0,0
Calen Addison,20-21,MIN,D,3,55.55,0,0,0,0,4,4,6,0.07,0,0,1.75,1,0,0,2,3,0,0,0,0,0,0,0,0
Calle Jarnkrok,20-21,NSH,C,49,823.13,13,7,8,28,91,114,133,8.71,14.29,11.4,7.64,15,11,19,30,41,2,8,0,0,6,41,54,-13
Calvin De Haan,20-21,CHI,D,44,819.15,1,4,5,10,58,85,132,1.81,1.72,1.18,2.13,85,36,15,99,55,7,7,0,0,0,0,0,0
Cam Atkinson,20-21,CBJ,R,56,1060.3,15,12,7,34,158,210,250,15.62,9.49,7.14,7.44,30,45,22,22,22,2,6,0,0,4,7,23,-16
Cam Fowler,20-21,ANA,D,56,1218.58,5,5,13,23,75,105,181,3.84,6.67,4.76,3.66,36,28,21,27,63,9,4,0,0,-5,0,0,0
Cam York,20-21,PHI,D,3,59.35,0,0,0,0,1,3,6,0.07,0,0,2.33,2,0,1,1,4,0,2,0,0,2,0,0,0
Carl Grundstrom,20-21,L.A,R,47,586.32,6,2,3,11,66,83,101,5.38,9.09,7.23,6.48,23,9,6,104,58,8,6,0,0,-2,3,4,-1
Carl Gunnarsson,20-21,STL,D,12,173.12,0,0,2,2,6,10,17,0.16,0,0,1.6,16,2,1,9,22,3,1,0,0,-2,0,0,0
Carl Hagelin,20-21,WSH,L,56,789.65,6,8,2,16,85,102,129,8.7,7.06,5.88,8.53,19,16,21,22,38,7,8,1,1,1,3,10,-7
Carl Soderberg,20-21,CHI/COL,C,45,647,7,6,4,17,61,75,87,6.79,11.48,9.33,9.05,36,16,10,66,51,9,8,0,0,-1,201,190,11
Carsen Twarynski,20-21,PHI,L,7,61.98,0,0,0,0,4,6,7,0.24,0,0,4,2,0,0,17,4,1,0,0,0,-1,1,2,-1
Carson Soucy,20-21,MIN,D,50,764.27,1,7,9,17,47,66,84,1.56,2.13,1.52,2.36,49,18,12,62,63,18,6,3,2,-13,0,0,0
Carter Rowney,20-21,ANA,R,19,271.37,0,5,1,6,10,11,18,1.38,0,0,12.55,21,3,8,45,23,1,2,0,0,1,8,6,2
Carter Verhaeghe,20-21,FLA,C,43,762.53,18,10,8,36,107,136,173,15.4,16.82,13.24,11.32,14,26,19,33,79,13,7,1,1,-6,23,26,-3
Casey Cizikas,20-21,NYI,C,56,774.73,7,5,2,14,72,91,112,8.42,9.72,7.69,9.25,25,16,12,112,87,11,14,1,2,4,340,299,41
Casey Mittelstadt,20-21,BUF,C,41,651.17,10,6,6,22,61,80,94,7.55,16.39,12.5,9.44,12,18,18,9,29,5,5,0,0,0,216,225,-9
Cedric Paquette,20-21,CAR/OTT,C,47,439.28,4,0,4,8,33,49,62,4.53,12.12,8.16,9.24,26,6,10,136,47,8,7,1,1,-1,33,42,-9
Chad Ruhwedel,20-21,PIT,D,17,249.78,0,1,1,2,16,25,43,0.35,0,0,1.4,13,2,1,32,23,7,0,0,0,-7,0,0,0
Chandler Stephenson,20-21,VGK,C,51,922.93,14,13,8,35,83,106,124,10.35,16.87,13.21,9.76,35,10,23,43,71,7,13,1,0,5,375,369,6
Charlie Coyle,20-21,BOS,C,51,830.75,6,5,5,16,79,107,127,6.57,7.59,5.61,6.14,24,19,28,57,31,10,12,0,0,2,245,262,-17
Charlie McAvoy,20-21,BOS,D,51,1223.78,5,12,13,30,92,136,189,4.73,5.43,3.68,3.48,80,44,20,65,101,19,11,0,0,-8,0,0,0
Chris Kreider,20-21,NYR,C,50,869.87,20,7,3,30,102,145,177,17.45,19.61,13.79,12.03,35,32,17,115,47,12,6,2,2,-6,30,45,-15
Chris Tanev,20-21,CGY,D,56,1216.93,2,2,8,12,66,87,122,2.11,3.03,2.3,2.43,107,57,23,33,111,3,6,0,0,3,0,0,0
Chris Tierney,20-21,OTT,C,55,824.45,6,9,4,19,53,71,82,6.02,11.32,8.45,8.48,32,32,22,23,29,4,6,0,0,2,269,321,-52
Chris Wagner,20-21,BOS,R,41,479.17,2,0,3,5,57,72,86,4.18,3.51,2.78,5.81,21,7,14,75,70,7,4,2,2,-3,41,38,3
Christian Djoos,20-21,DET,D,36,543.05,2,5,4,11,39,53,77,1.83,5.13,3.77,3.45,26,21,5,10,19,7,3,0,0,-4,0,0,0
Christian Dvorak,20-21,ARI,L,56,1030.78,17,7,7,31,95,132,154,15.34,17.89,12.88,11.62,45,18,19,48,51,6,11,0,0,5,553,509,44
Christian Fischer,20-21,ARI,R,52,662.97,3,4,4,11,47,67,85,5.6,6.38,4.48,8.36,27,11,7,148,53,3,7,0,0,4,12,12,0
Christian Jaros,20-21,S.J,D,7,78.3,0,0,1,1,3,6,10,0.08,0,0,1.33,8,2,3,9,15,1,1,0,0,0,0,0,0
Christian Wolanin,20-21,L.A/OTT,D,18,238.85,0,2,1,3,16,21,32,0.63,0,0,3,7,13,1,3,12,4,1,0,0,-3,0,0,0
Clark Bishop,20-21,OTT,C,13,123.13,0,3,0,3,16,20,25,1.7,0,0,8.5,8,6,3,23,21,2,3,0,0,1,36,35,1
Claude Giroux,20-21,PHI,R,54,977.7,16,15,12,43,120,176,211,12.75,13.33,9.09,7.24,6,16,19,32,45,6,17,0,0,11,484,328,156
Clayton Keller,20-21,ARI,C,56,932.87,14,11,10,35,124,176,212,13.36,11.29,7.95,7.59,14,17,23,20,67,9,19,0,0,10,19,22,-3
Cody Ceci,20-21,PIT,D,53,981.47,4,5,8,17,58,78,110,2.09,6.9,5.13,2.68,70,15,11,74,117,6,5,0,0,-1,0,0,0
Cody Eakin,20-21,BUF,C,46,594.97,3,2,2,7,39,51,59,3.65,7.69,5.88,7.16,20,14,16,33,24,7,4,0,0,-3,271,228,43
Cody Glass,20-21,VGK,C,27,392.58,4,4,2,10,28,36,55,4.52,14.29,11.11,12.56,9,6,11,10,31,4,6,0,0,2,110,149,-39
Cole Caufield,20-21,MTL,R,10,139.6,4,1,0,5,30,46,56,2.96,13.33,8.7,6.43,0,4,3,3,3,1,1,0,0,0,0,0,0
Colin Blackwell,20-21,NYR,C,47,658.3,12,5,5,22,64,96,115,7.79,18.75,12.5,8.11,19,17,15,45,66,5,8,1,1,3,30,32,-2
Colin Miller,20-21,BUF,D,48,864,4,3,5,12,64,96,139,2.15,6.25,4.17,2.24,51,25,14,91,53,11,10,1,1,-1,0,0,0
Colin White (C),20-21,OTT,C,45,661.1,10,4,4,18,69,102,132,8.84,14.49,9.8,8.67,18,25,15,58,43,8,7,0,0,-1,170,232,-62
Colton Parayko,20-21,STL,D,32,682.6,2,5,5,12,60,80,117,2.36,3.33,2.5,2.95,64,23,13,35,68,7,3,0,0,-4,0,0,0
Colton Sceviour,20-21,PIT,C,46,440.65,5,3,2,10,53,62,76,3.67,9.43,8.06,5.92,28,5,9,64,51,1,3,0,0,2,5,13,-8
Colton Sissons,20-21,NSH,C,54,775.02,8,4,3,15,58,79,96,6.44,13.79,10.13,8.15,27,9,15,74,23,9,5,0,0,-4,319,272,47
Connor Brown,20-21,OTT,R,56,1021.57,21,6,8,35,123,162,200,14.16,17.07,12.96,8.74,30,29,56,22,72,6,9,0,0,3,12,15,-3
Connor Bunnaman,20-21,PHI,C,18,208.13,0,1,0,1,15,20,27,0.87,0,0,4.35,6,0,5,31,20,1,0,0,0,-1,56,48,8
Connor Carrick,20-21,N.J,D,11,205.37,1,0,1,2,8,16,21,0.4,12.5,6.25,2.5,24,8,1,11,21,0,1,1,1,1,0,0,0
Connor Clifton,20-21,BOS,D,44,801.53,1,2,4,7,48,72,103,1.52,2.08,1.39,2.11,52,15,13,108,113,14,5,2,2,-9,0,0,0
Connor MacKey,20-21,CGY,D,6,84.97,1,1,1,3,4,9,11,0.42,25,11.11,4.67,0,4,0,8,9,5,1,2,2,-4,0,0,0
Connor McDavid,20-21,EDM,C,56,1240.6,33,50,22,105,200,257,314,25.4,16.5,12.84,9.88,24,47,36,61,89,10,29,0,0,19,316,322,-6
Connor Murphy,20-21,CHI,D,50,1107.27,3,5,7,15,78,99,159,2.33,3.85,3.03,2.35,123,37,10,102,155,5,14,1,1,9,0,0,0
Conor Garland,20-21,ARI,R,49,878.12,12,22,5,39,135,185,241,12.38,8.89,6.49,6.69,19,19,34,26,84,13,27,0,1,15,7,14,-7
Conor Sheary,20-21,WSH,L,53,726.63,14,4,4,22,88,120,144,10.73,15.91,11.67,8.94,20,8,25,24,62,7,12,0,0,5,3,7,-4
Conor Timmins,20-21,COL,D,31,420.15,0,2,5,7,31,45,70,1.16,0,0,2.58,22,4,6,18,41,4,2,0,0,-2,0,0,0
Corey Perry,20-21,MTL,R,49,673.22,9,8,4,21,62,88,109,7.92,14.52,10.23,9,15,16,15,56,44,7,12,3,3,5,0,6,-6
Craig Smith,20-21,BOS,C,54,803.25,13,9,10,32,132,187,236,10.96,9.85,6.95,5.86,8,16,24,66,83,9,6,0,0,-3,10,13,-3
Curtis Lazar,20-21,BOS/BUF,C,50,666.19,7,3,3,13,55,79,91,8.33,12.73,8.86,10.54,22,7,18,99,62,3,7,0,0,4,160,175,-15
Dakota Joshua,20-21,STL,C,12,107.62,1,0,0,1,9,9,11,0.58,11.11,11.11,6.44,2,1,3,23,21,1,4,1,1,3,37,27,10
Damon Severson,20-21,N.J,D,56,1259.13,3,10,8,21,91,129,195,4.45,3.3,2.33,3.45,50,52,23,57,43,12,6,1,1,-6,0,0,0
Dan Renouf,20-21,COL,D,18,182.95,0,1,2,3,12,14,18,0.25,0,0,1.79,3,3,1,20,14,3,1,2,2,-2,0,0,0
Daniel Carr,20-21,WSH,L,6,61.37,0,1,0,1,5,6,8,0.39,0,0,6.5,4,2,1,10,5,1,2,0,0,1,0,0,0
Daniel Sprong,20-21,WSH,R,42,490.08,13,4,3,20,74,98,127,5.28,17.57,13.27,5.39,1,13,11,28,32,6,3,0,0,-3,4,4,0
Danny Dekeyser,20-21,DET,D,47,850.68,4,3,5,12,43,64,92,1.55,9.3,6.25,2.42,81,20,1,44,73,10,2,0,0,-8,0,0,0
Dante Fabbro,20-21,NSH,D,40,772.6,2,5,5,12,59,74,101,1.46,3.39,2.7,1.97,57,26,8,32,67,9,4,1,1,-5,0,0,0
Danton Heinen,20-21,ANA,L,43,634.87,7,6,1,14,76,104,139,8.43,9.21,6.73,8.11,30,10,23,32,27,0,6,0,0,6,1,6,-5
Darnell Nurse,20-21,EDM,D,56,1435,16,8,12,36,155,208,289,7.18,10.32,7.69,3.45,100,61,24,117,63,16,10,3,3,-6,0,0,0
Darren Helm,20-21,DET,C,47,689.85,3,2,3,8,83,97,130,6.18,3.61,3.09,6.37,20,10,13,39,63,5,11,0,0,6,6,3,3
David Backes,20-21,ANA,R,15,191.02,3,0,1,4,30,39,49,2.72,10,7.69,6.97,16,5,5,31,20,2,0,0,0,-2,81,79,2
David Kampf,20-21,CHI,C,56,821.35,1,6,5,12,63,81,101,6.74,1.59,1.23,8.32,14,8,31,45,82,10,12,0,0,2,410,367,43
David Krejci,20-21,BOS,C,51,873.87,8,24,12,44,83,112,141,7.35,9.64,7.14,6.56,26,28,21,25,43,8,5,0,0,-3,321,271,50
David Pastrnak,20-21,BOS,R,48,893.48,20,21,7,48,176,247,334,14.88,11.36,8.1,6.02,13,31,25,35,60,12,22,0,0,10,2,5,-3
David Perron,20-21,STL,L,56,1038.75,19,20,19,58,151,202,288,13.3,12.58,9.41,6.58,25,32,17,45,34,11,12,0,0,1,0,6,-6
David Savard,20-21,CBJ/T.B,D,54,1071.68,1,0,5,6,69,92,124,3.22,1.45,1.09,3.5,109,24,7,132,79,12,5,0,0,-7,0,0,0
Dean Kukan,20-21,CBJ,D,35,496.62,1,1,3,5,29,36,50,0.62,3.45,2.78,1.72,38,17,6,36,36,5,4,0,0,-1,0,0,0
Denis Gurianov,20-21,DAL,R,55,871.8,12,10,8,30,130,181,251,12.86,9.23,6.63,7.1,12,29,18,63,39,8,10,1,1,2,0,1,-1
Dennis Cholowski,20-21,DET,D,16,254.35,1,2,0,3,10,15,22,0.4,10,6.67,2.67,18,6,3,5,9,2,0,0,0,-2,0,0,0
Derek Forbort,20-21,WPG,D,56,1161.57,2,4,6,12,67,101,174,1.86,2.99,1.98,1.84,115,54,19,80,111,10,1,1,1,-9,0,0,0
Derek Grant,20-21,ANA,C,46,669.97,6,4,5,15,66,97,122,5.85,9.09,6.19,6.03,40,12,9,65,34,10,6,1,1,-4,289,277,12
Derek Ryan,20-21,CGY,C,43,511.3,2,8,3,13,37,60,70,5.29,5.41,3.33,8.82,21,16,20,13,35,8,14,0,0,6,153,141,12
Derek Stepan,20-21,OTT,C,20,301.28,1,3,2,6,44,57,70,3.43,2.27,1.75,6.02,16,6,10,25,15,4,1,0,0,-3,130,130,0
Derick Brassard,20-21,ARI,C,53,784.17,8,5,7,20,67,101,130,8.33,11.94,7.92,8.25,5,19,17,80,25,6,8,0,0,2,229,206,23
Devin Shore,20-21,EDM,C,38,415.03,5,3,1,9,27,34,40,3.64,18.52,14.71,10.71,26,8,15,73,37,3,1,0,0,-2,57,51,6
Devon Toews,20-21,COL,D,53,1312.32,9,9,13,31,121,162,221,5.6,7.44,5.56,3.46,87,19,32,44,34,8,12,0,0,4,0,0,0
Dillon Dube,20-21,CGY,C,51,695.52,11,6,5,22,84,119,156,8.67,13.1,9.24,7.29,14,32,15,59,81,10,10,0,0,0,9,8,1
Dmitry Kulikov,20-21,EDM/N.J,D,48,920.05,0,1,3,4,51,71,110,1.76,0,0,2.48,49,31,8,93,79,14,2,0,0,-12,0,0,0
Dmitry Orlov,20-21,WSH,D,51,1010.5,8,6,8,22,83,118,164,3.56,9.64,6.78,3.02,50,25,30,87,51,10,4,0,0,-6,0,0,0
Dominik Kahun,20-21,EDM,C,48,615.37,9,4,2,15,69,92,112,6.78,13.04,9.78,7.37,12,16,11,13,28,1,4,0,0,3,16,14,2
Dominik Kubalik,20-21,CHI,L,56,868.95,17,11,10,38,156,192,260,14.46,10.9,8.85,7.53,17,19,12,57,35,9,9,0,0,0,0,3,-3
Dominik Simon,20-21,CGY,C,11,105.65,0,0,0,0,4,5,11,0.4,0,0,8,4,4,0,12,6,0,3,0,0,3,3,7,-4
Dougie Hamilton,20-21,CAR,D,55,1249.72,10,16,16,42,180,253,362,9.38,5.56,3.95,3.71,64,44,19,52,42,15,3,1,1,-12,0,0,0
Drake Batherson,20-21,OTT,C,56,922.53,17,12,5,34,111,170,212,13.83,15.32,10,8.14,29,25,15,102,71,4,10,0,0,6,5,8,-3
Drake Caggiula,20-21,ARI/BUF,C,38,471.3,3,4,3,10,46,62,78,4.84,6.52,4.84,7.81,9,10,9,64,28,7,6,1,1,-1,5,8,-3
Drew Doughty,20-21,L.A,D,56,1477.33,8,12,14,34,101,149,235,6.64,7.92,5.37,4.46,83,40,8,91,87,13,8,0,0,-5,0,0,0
Drew O'Connor,20-21,PIT,L,10,89.53,0,0,1,1,8,13,16,0.75,0,0,5.77,2,3,2,6,9,1,1,0,0,0,1,1,0
Dryden Hunt,20-21,ARI,L,26,311.28,3,3,2,8,39,53,66,3.3,7.69,5.66,6.23,5,7,4,94,43,2,5,0,0,3,4,9,-5
Duncan Keith,20-21,CHI,D,54,1264.12,4,7,4,15,110,134,199,4.3,3.64,2.99,3.21,91,63,28,33,63,15,0,0,0,-15,0,0,0
Dustin Brown,20-21,L.A,L,49,863.43,17,9,5,31,129,168,207,15.56,13.18,10.12,9.26,10,31,11,85,57,9,15,0,0,6,2,2,0
Dylan Coghlan,20-21,VGK,D,29,391.15,3,1,2,6,31,44,75,1.53,9.68,6.82,3.48,16,4,5,29,35,1,1,0,0,0,0,1,-1
Dylan Cozens,20-21,BUF,C,41,588.6,4,8,1,13,62,80,102,6.13,6.45,5,7.66,11,20,13,30,50,3,7,2,2,4,96,106,-10
Dylan Demelo,20-21,WPG,D,52,882.48,0,5,4,9,44,63,89,1.6,0,0,2.54,58,48,9,76,89,10,3,0,0,-7,0,0,0
Dylan Gambrell,20-21,S.J,C,49,785.4,5,2,5,12,48,78,97,6.17,10.42,6.41,7.91,54,13,9,77,67,4,7,1,1,3,279,358,-79
Dylan Larkin,20-21,DET,C,44,897.7,9,11,3,23,134,176,223,13.34,6.72,5.11,7.58,17,38,21,38,45,12,14,2,2,2,361,369,-8
Dylan Sikura,20-21,VGK,C,6,61.47,2,0,0,2,8,8,11,0.41,25,25,5.12,1,0,5,3,5,0,2,0,0,2,0,0,0
Dylan Strome,20-21,CHI,C,40,620.53,9,6,2,17,71,90,112,9.01,12.68,10,10.01,19,20,17,8,49,7,3,0,0,-4,198,223,-25
Eeli Tolvanen,20-21,NSH,R,40,592.28,11,3,8,22,65,94,137,5.21,16.92,11.7,5.54,16,5,8,78,34,2,4,0,0,2,1,5,-4
Eetu Luostarinen,20-21,FLA,C,44,578.02,3,1,4,8,34,48,63,3.79,8.82,6.25,7.9,25,11,25,55,58,6,13,0,0,7,191,207,-16
Elias Lindholm,20-21,CGY,C,56,1114.1,19,12,16,47,130,157,202,14,14.62,12.1,8.92,34,26,30,53,37,11,13,0,0,2,509,482,27
Elias Pettersson,20-21,VAN,C,26,482.78,10,5,6,21,63,95,126,8.29,15.87,10.53,8.73,9,13,11,11,34,3,13,0,0,10,63,77,-14
