Player,Season,Team,Position,GP,TOI,G,A1,A2,Points,iSF,iFF,iCF,ixG,Sh%,FSh%,xFSh%,iBLK,GIVE,TAKE,iHF,iHA,iPENT2,iPEND2,iPENT5,iPEND5,iPEN±,FOW,FOL,FO±
Vinnie Hinostroza,20-21,CHI/FLA,C,26,319.03,4,7,1,12,33,40,53,3.25,12.12,10,8.12,3,12,10,37,37,4,6,0,0,2,3,17,-14
Vitali Kravtsov,20-21,NYR,R,20,247.37,2,0,2,4,23,31,42,1.73,8.7,6.45,5.58,6,13,7,7,17,2,0,0,0,-2,0,2,-2
Vladimir Tarasenko,20-21,STL,R,24,418.08,4,7,3,14,65,81,111,4.93,6.15,4.94,6.09,15,9,10,30,23,0,3,0,0,3,0,0,0
Vladislav Gavrikov,20-21,CBJ,D,55,1066.98,2,4,6,12,48,67,102,2.1,4.17,2.99,3.13,77,17,17,69,60,8,2,0,0,-6,0,0,0
Vladislav Namestnikov,20-21,DET,C,53,856.4,8,3,6,17,87,110,125,12.69,9.2,7.27,11.54,35,9,13,71,69,12,10,0,0,-2,135,210,-75
Wade Allison,20-21,PHI,R,14,181.05,4,2,1,7,24,31,39,2.65,16.67,12.9,8.55,10,3,6,28,21,2,1,0,0,-1,0,1,-1
Warren Foegele,20-21,CAR,L,53,750.17,10,7,3,20,91,130,155,14.14,10.99,7.69,10.88,12,28,16,60,74,10,15,0,0,5,18,17,1
Wayne Simmonds,20-21,TOR,R,38,455.45,7,0,2,9,62,83,105,5.93,11.29,8.43,7.14,15,19,13,64,35,5,3,3,3,-2,6,6,0
Will Butcher,20-21,N.J,D,23,437.73,1,4,6,11,37,48,75,1.17,2.7,2.08,2.44,28,8,8,7,24,1,2,0,0,1,0,0,0
William Borgen,20-21,BUF,D,10,162.63,0,0,0,0,7,10,12,0.2,0,0,2,14,1,0,30,11,2,0,0,0,-2,0,0,0
William Carrier,20-21,VGK,L,52,540.53,6,8,1,15,65,85,103,8.56,9.23,7.06,10.07,13,9,12,131,57,8,19,0,0,11,3,5,-2
William Karlsson,20-21,VGK,C,56,1045.33,14,14,11,39,111,146,198,16.04,12.61,9.59,10.99,29,15,30,29,81,2,8,0,0,6,518,441,77
William Lagesson,20-21,EDM,D,19,268.32,0,2,0,2,11,19,29,0.49,0,0,2.58,14,7,3,15,58,2,3,1,1,1,0,0,0
William Nylander,20-21,TOR,C,51,846.45,17,16,9,42,133,180,217,18.1,12.78,9.44,10.06,15,41,30,12,67,8,10,0,0,2,13,10,3
Wyatt Kalynuk,20-21,CHI,D,21,341.08,4,2,3,9,26,36,48,1.36,15.38,11.11,3.78,21,17,2,25,53,2,0,0,0,-2,0,0,0
Xavier Ouellet,20-21,MTL,D,6,86.43,0,0,0,0,5,8,10,0.3,0,0,3.75,8,3,0,17,10,1,1,0,0,0,0,0,0
