,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank,Points,+/-,A,ATOI,BLK,DEF,FOL,FOW,G,GA,GAA,GP,GS,GWG,HAT,HIT,L,MIN ?,OTL,PIM,PPG,PPP,SA,SHA,SHG,SHP,SO,SOG,SV,SV%,TTOI ?,W,FPPG,Over 3 FPPG,Over 4 FPPG,"Fantasy Points Rank, Whole Season"
12,Carolina Tony,2,Home,157.6,Team Ginsberg,166.05,-1,AWAY,10.0,157.60000000000002,2.0,23.0,19290.91666668,34.0,12.0,151.0,162.0,16.0,21.0,9.728030910000001,48.0,7.0,2.0,0.0,61.0,5.0,24079.0,2.0,55.0,5.0,16.0,197.0,0.0,0.0,0.0,0.0,123.0,176.0,2.65325028,53186.0,0.0,60.79166666666667,8.0,7.0,179.0
13,Lausanne  Automatons ,2,Home,211.3,Brown Shoes w/ a Black Belt?,165.5,-1,HOME,2.0,211.3,-4.0,23.0,22450.66666668,37.0,14.0,104.0,93.0,16.0,12.0,5.34197228,54.0,7.0,2.0,0.0,52.0,1.0,23343.0,1.0,16.0,4.0,14.0,184.0,1.0,0.0,1.0,2.0,118.0,172.0,2.81134453,61158.0,5.0,81.62083333333334,13.0,8.0,77.0
14,DadKnows Best,2,Home,171.05,Esther Island Esthers,204.65,-1,AWAY,7.0,171.05000000000004,13.0,32.0,19829.5,45.0,11.0,79.0,105.0,14.0,4.0,7.72532189,54.0,1.0,3.0,1.0,41.0,0.0,1864.0,0.0,18.0,3.0,15.0,15.0,0.0,0.0,0.0,0.0,138.0,11.0,0.73333333,60069.0,0.0,54.26666666666668,8.0,6.0,151.0
15,That Hoser Over There,2,Away,176.85,Baltimore Bandits,202.95,-1,HOME,6.0,176.85,1.0,24.0,28610.08333332,39.0,3.0,147.0,161.0,11.0,25.0,18.8036092,54.0,7.0,3.0,0.0,73.0,1.0,23922.0,1.0,28.0,5.0,11.0,223.0,1.0,2.0,3.0,0.0,110.0,198.0,3.47672894,64065.0,5.0,72.58333333333334,11.0,9.0,139.0
16,HC FirePucks,2,Away,191.5,Vasili's POD SQUAD,212.4,-1,HOME,5.0,191.5,-3.0,24.0,21255.33333334,35.0,6.0,51.0,63.0,14.0,15.0,5.54381439,51.0,7.0,3.0,1.0,40.0,1.0,25675.0,2.0,32.0,2.0,6.0,229.0,0.0,1.0,1.0,1.0,118.0,214.0,2.82548403,57011.0,4.0,77.42083333333333,9.0,7.0,115.0
17,Team Ginsberg,2,Away,166.05,Carolina Tony,157.6,-1,AWAY,8.0,166.04999999999995,-9.0,19.0,23030.08333335,40.0,6.0,108.0,108.0,12.0,18.0,11.54979155,56.0,7.0,1.0,0.0,53.0,3.0,25287.0,0.0,32.0,3.0,8.0,230.0,0.0,0.0,0.0,0.0,138.0,212.0,3.60153838,64036.0,4.0,61.729166666666664,7.0,5.0,163.0
18,Brown Shoes w/ a Black Belt?,2,Away,165.5,Lausanne  Automatons ,211.3,-1,HOME,9.0,165.50000000000003,10.0,26.0,24438.16666667,39.0,1.0,113.0,99.0,7.0,8.0,4.53406269,56.0,5.0,1.0,0.0,92.0,1.0,17878.0,0.0,33.0,3.0,8.0,145.0,0.0,0.0,0.0,0.0,130.0,137.0,2.84366787,62109.0,4.0,70.62083333333332,9.0,7.0,164.0
19,Esther Island Esthers,2,Away,204.65,DadKnows Best,171.05,-1,AWAY,3.0,204.65,-5.0,28.0,25722.33333333,34.0,11.0,131.0,147.0,12.0,12.0,5.5698763,55.0,6.0,2.0,0.0,74.0,0.0,22000.0,1.0,25.0,6.0,16.0,198.0,0.0,0.0,0.0,0.0,117.0,186.0,2.8330386,63608.0,5.0,90.83333333333331,12.0,7.0,90.0
20,Vasili's POD SQUAD,3,Home,168.45,Carolina Tony,199.75,-1,AWAY,8.0,168.45000000000002,10.0,24.0,23767.49999999,52.0,9.0,167.0,159.0,14.0,21.0,13.677747799999999,59.0,7.0,2.0,0.0,48.0,4.0,24798.0,0.0,16.0,4.0,11.0,189.0,0.0,0.0,0.0,0.0,135.0,168.0,3.5312319199999997,71156.0,3.0,59.52500000000001,8.0,4.0,159.0
21,Baltimore Bandits,3,Home,223.55,Lausanne  Automatons ,230.0,-1,AWAY,2.0,223.54999999999998,17.0,33.0,26970.0,57.0,11.0,149.0,171.0,17.0,10.0,5.05347714,62.0,4.0,0.0,0.0,61.0,1.0,14248.0,0.0,26.0,5.0,18.0,116.0,0.0,0.0,0.0,1.0,152.0,106.0,1.8262953,76229.0,3.0,87.00833333333333,14.0,9.0,57.0
22,That Hoser Over There,3,Home,198.25,DadKnows Best,77.7,-1,HOME,5.0,198.24999999999997,4.0,27.0,23596.91666666,45.0,7.0,128.0,146.0,16.0,16.0,8.990087979999998,57.0,7.0,5.0,0.0,83.0,3.0,24948.0,1.0,20.0,2.0,9.0,218.0,0.0,0.0,0.0,0.0,136.0,202.0,3.7041569999999995,68179.0,3.0,74.50833333333337,11.0,5.0,104.0
23,HC FirePucks,3,Home,147.5,Brown Shoes w/ a Black Belt?,181.1,-1,AWAY,9.0,147.5,19.0,19.0,21286.08333333,22.0,8.0,63.0,76.0,14.0,13.0,6.10820532,51.0,5.0,2.0,0.0,36.0,1.0,18536.0,2.0,12.0,2.0,11.0,137.0,0.0,0.0,0.0,0.0,106.0,124.0,2.76091366,57633.0,2.0,58.29583333333334,7.0,5.0,189.0
24,Team Ginsberg,3,Home,173.35,Esther Island Esthers,207.4,-1,AWAY,7.0,173.35,1.0,21.0,23496.91666668,32.0,7.0,109.0,100.0,16.0,13.0,6.685743329999999,57.0,6.0,4.0,0.0,41.0,4.0,21155.0,0.0,32.0,4.0,12.0,187.0,0.0,0.0,0.0,1.0,120.0,174.0,2.77491848,64409.0,2.0,64.49583333333334,11.0,5.0,145.0
25,Carolina Tony,3,Away,199.75,Vasili's POD SQUAD,168.45,-1,AWAY,4.0,199.75,7.0,24.0,24058.08333333,39.0,15.0,185.0,211.0,15.0,12.0,5.90556793,59.0,6.0,5.0,0.0,68.0,1.0,21884.0,0.0,40.0,4.0,9.0,183.0,0.0,0.0,0.0,0.0,137.0,171.0,2.8079148800000002,67370.0,5.0,74.9125,11.0,7.0,101.0
26,Lausanne  Automatons ,3,Away,230.0,Baltimore Bandits,223.55,-1,AWAY,1.0,230.00000000000003,9.0,20.0,21080.91666666,43.0,8.0,62.0,75.0,15.0,3.0,1.00102164,54.0,6.0,2.0,2.0,81.0,0.0,21567.0,0.0,37.0,2.0,11.0,175.0,0.0,0.0,0.0,3.0,119.0,172.0,1.96467034,57328.0,6.0,84.45833333333331,10.0,6.0,49.0
27,DadKnows Best,3,Away,77.7,That Hoser Over There,198.25,-1,HOME,10.0,77.70000000000003,-17.0,11.0,19545.66666667,15.0,1.0,97.0,96.0,6.0,3.0,2.90400645,47.0,1.0,3.0,0.0,35.0,0.0,3719.0,1.0,12.0,2.0,6.0,21.0,0.0,0.0,0.0,0.0,119.0,18.0,0.85714286,51186.0,0.0,30.03333333333334,3.0,1.0,237.0
28,Brown Shoes w/ a Black Belt?,3,Away,181.1,HC FirePucks,147.5,-1,AWAY,6.0,181.1,5.0,21.0,23600.75000002,42.0,7.0,136.0,85.0,14.0,14.0,6.88035663,60.0,6.0,4.0,0.0,73.0,1.0,22055.0,1.0,30.0,2.0,6.0,187.0,0.0,0.0,0.0,0.0,141.0,173.0,2.77489375,65800.0,4.0,68.72083333333333,12.0,6.0,135.0
29,Esther Island Esthers,3,Away,207.4,Team Ginsberg,173.35,-1,AWAY,3.0,207.40000000000003,9.0,18.0,26854.91666667,51.0,11.0,180.0,218.0,23.0,16.0,8.12229314,68.0,6.0,4.0,0.0,66.0,4.0,21292.0,0.0,31.0,5.0,9.0,205.0,0.0,0.0,0.0,1.0,170.0,189.0,2.76638546,78890.0,2.0,72.15833333333333,9.0,7.0,82.0
30,Lausanne  Automatons ,4,Home,152.85,DadKnows Best,158.45,-1,AWAY,10.0,152.84999999999997,-11.0,23.0,18937.75,33.0,6.0,78.0,66.0,11.0,18.0,10.32644846,50.0,6.0,0.0,0.0,71.0,2.0,20884.0,2.0,31.0,3.0,14.0,156.0,0.0,0.0,0.0,1.0,100.0,138.0,2.63182261,54569.0,2.0,52.12499999999999,8.0,5.0,183.0
31,Brown Shoes w/ a Black Belt?,4,Home,187.2,Vasili's POD SQUAD,202.35,-1,AWAY,7.0,187.2,-4.0,22.0,22690.83333333,56.0,1.0,78.0,85.0,17.0,3.0,1.47662018,59.0,3.0,3.0,0.0,75.0,0.0,8514.0,1.0,20.0,3.0,9.0,78.0,0.0,1.0,1.0,1.0,145.0,75.0,1.95384615,67435.0,1.0,67.23749999999998,10.0,7.0,123.5
32,Esther Island Esthers,4,Home,214.5,Carolina Tony,255.85,-1,AWAY,3.0,214.50000000000003,19.0,39.0,25122.83333334,31.0,16.0,120.0,142.0,15.0,11.0,8.08595202,56.0,4.0,4.0,1.0,59.0,1.0,14522.0,1.0,20.0,3.0,18.0,140.0,1.0,0.0,1.0,0.0,131.0,129.0,2.75213674,65386.0,2.0,92.5625,12.0,7.0,72.0
33,HC FirePucks,4,Home,169.35,Baltimore Bandits,192.15,-1,AWAY,8.0,169.34999999999997,-11.0,17.0,17650.83333334,32.0,10.0,72.0,57.0,7.0,9.0,3.4754893,40.0,7.0,1.0,0.0,29.0,0.0,25334.0,1.0,4.0,2.0,8.0,225.0,1.0,0.0,1.0,2.0,96.0,216.0,2.8918689200000003,43904.0,6.0,70.12083333333332,8.0,5.0,157.0
