,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank,Points,+/-,A,ATOI,BLK,DEF,FOL,FOW,G,GA,GAA,GP,GS,GWG,HAT,HIT,L,MIN ?,OTL,PIM,PPG,PPP,SA,SHA,SHG,SHP,SO,SOG,SV,SV%,TTOI ?,W,FPPG,Over 3 FPPG,Over 4 FPPG,"Fantasy Points Rank, Whole Season"
63,HC FirePucks,7,Home,175.65,DadKnows Best,133.05,-1,HOME,5.0,175.65,7.0,26.0,18790.66666667,41.0,12.0,136.0,113.0,18.0,12.0,8.63856107,56.0,4.0,2.0,1.0,50.0,4.0,14117.0,0.0,14.0,6.0,14.0,129.0,0.0,0.0,0.0,0.0,137.0,117.0,2.7413273,61682.0,0.0,54.71249999999999,7.0,5.0,141.0
64,Baltimore Bandits,7,Home,223.5,Esther Island Esthers,193.55,-1,HOME,2.0,223.49999999999997,4.0,32.0,25064.33333334,34.0,10.0,156.0,156.0,16.0,14.0,6.5979038899999995,58.0,6.0,2.0,0.0,55.0,0.0,21856.0,1.0,18.0,3.0,15.0,172.0,2.0,1.0,3.0,0.0,139.0,158.0,2.77288436,68197.0,5.0,93.79999999999998,15.0,11.0,58.0
65,Team Ginsberg,7,Away,211.8,Vasili's POD SQUAD,166.35,-1,AWAY,3.0,211.79999999999998,7.0,32.0,23967.16666667,53.0,14.0,144.0,122.0,17.0,10.0,6.02952652,60.0,5.0,6.0,0.0,38.0,1.0,17901.0,0.0,30.0,2.0,8.0,140.0,0.0,0.0,0.0,0.0,150.0,130.0,2.7850307599999997,71389.0,4.0,80.18333333333334,13.0,10.0,75.0
66,That Hoser Over There,7,Away,144.1,Lausanne  Automatons ,148.35,-1,HOME,9.0,144.1,-15.0,12.0,23368.08333334,39.0,3.0,189.0,207.0,10.0,14.0,7.284879070000001,59.0,6.0,1.0,1.0,65.0,2.0,19659.0,0.0,28.0,3.0,5.0,195.0,0.0,0.0,0.0,0.0,129.0,181.0,2.7976952099999997,69551.0,4.0,58.06666666666666,4.0,3.0,193.0
67,Carolina Tony,7,Away,242.3,Brown Shoes w/ a Black Belt?,145.4,-1,AWAY,1.0,242.30000000000004,7.0,34.0,23923.24999999,30.0,13.0,198.0,193.0,19.0,10.0,6.52462005,63.0,6.0,2.0,0.0,52.0,2.0,21366.0,0.0,30.0,4.0,13.0,180.0,1.0,0.0,1.0,2.0,150.0,170.0,2.73337438,73006.0,4.0,80.55,10.0,9.0,34.0
68,DadKnows Best,7,Away,133.05,HC FirePucks,175.65,-1,HOME,10.0,133.05,8.0,28.0,18558.83333334,44.0,3.0,144.0,123.0,8.0,13.0,6.40095225,51.0,4.0,2.0,0.0,31.0,3.0,14236.0,0.0,14.0,3.0,10.0,119.0,0.0,0.0,0.0,0.0,116.0,106.0,1.78764045,55702.0,1.0,48.087500000000006,7.0,5.0,206.0
69,Esther Island Esthers,7,Away,193.55,Baltimore Bandits,223.5,-1,HOME,4.0,193.54999999999995,-7.0,20.0,24109.66666668,54.0,6.0,154.0,157.0,10.0,4.0,1.67092135,62.0,5.0,2.0,0.0,54.0,0.0,17955.0,0.0,18.0,2.0,8.0,170.0,1.0,0.0,1.0,2.0,143.0,166.0,1.95252059,71199.0,5.0,67.3125,5.0,4.0,110.0
70,Team Ginsberg,8,Home,331.65,Lausanne  Automatons ,113.9,-1,HOME,1.0,331.65,21.0,42.0,24911.25,57.0,17.0,134.0,159.0,26.0,12.0,4.88012838,62.0,8.0,3.0,1.0,43.0,1.0,27924.0,0.0,42.0,4.0,20.0,259.0,0.0,0.0,0.0,1.0,196.0,247.0,3.84888655,75054.0,7.0,131.60416666666666,18.0,16.0,1.0
71,That Hoser Over There,8,Home,220.65,Brown Shoes w/ a Black Belt?,178.7,-1,HOME,3.0,220.64999999999995,0.0,36.0,24233.833333309998,41.0,10.0,189.0,170.0,14.0,19.0,10.40822562,53.0,7.0,1.0,1.0,61.0,2.0,25555.0,1.0,30.0,5.0,20.0,203.0,0.0,0.0,0.0,0.0,150.0,184.0,3.60816913,65402.0,4.0,84.14999999999999,13.0,10.0,63.0
72,Carolina Tony,8,Home,230.2,HC FirePucks,170.4,-1,HOME,2.0,230.20000000000002,5.0,29.0,22990.83333334,28.0,9.0,177.0,198.0,20.0,12.0,6.75076168,63.0,5.0,3.0,0.0,62.0,0.0,18573.0,2.0,27.0,10.0,21.0,164.0,0.0,0.0,0.0,0.0,166.0,152.0,2.77886839,69042.0,3.0,84.70416666666667,14.0,7.0,48.0
73,DadKnows Best,8,Home,136.9,Baltimore Bandits,199.3,-1,AWAY,9.0,136.9,8.0,18.0,18296.75,34.0,5.0,134.0,167.0,15.0,13.0,12.556308210000001,46.0,3.0,5.0,0.0,34.0,2.0,9486.0,0.0,22.0,2.0,6.0,90.0,0.0,0.0,0.0,0.0,144.0,77.0,1.69181034,53232.0,1.0,50.33333333333333,8.0,4.0,198.0
74,Esther Island Esthers,8,Home,173.2,Vasili's POD SQUAD,209.5,-1,AWAY,7.0,173.20000000000002,1.0,26.0,25699.91666665,48.0,13.0,157.0,157.0,12.0,18.0,12.35602313,59.0,7.0,0.0,0.0,80.0,2.0,23171.0,1.0,18.0,2.0,8.0,176.0,1.0,1.0,2.0,0.0,100.0,158.0,3.58401951,68812.0,4.0,74.8375,11.0,8.0,146.0
75,Lausanne  Automatons ,8,Away,113.9,Team Ginsberg,331.65,-1,HOME,10.0,113.89999999999999,-8.0,23.0,17765.41666666,27.0,5.0,64.0,47.0,2.0,11.0,6.98237559,39.0,5.0,0.0,0.0,47.0,2.0,18114.0,0.0,18.0,1.0,6.0,142.0,3.0,0.0,3.0,0.0,95.0,131.0,2.6884590800000003,42416.0,3.0,45.195833333333326,7.0,4.0,219.0
76,Brown Shoes w/ a Black Belt?,8,Away,178.7,That Hoser Over There,220.65,-1,HOME,6.0,178.7,5.0,27.0,21936.66666666,43.0,7.0,121.0,153.0,16.0,19.0,9.774935339999999,58.0,5.0,4.0,0.0,47.0,2.0,16258.0,0.0,20.0,4.0,8.0,125.0,2.0,0.0,2.0,0.0,159.0,106.0,2.63764881,63398.0,3.0,,9.0,5.0,138.0
77,HC FirePucks,8,Away,170.4,Carolina Tony,230.2,-1,HOME,8.0,170.4,-9.0,20.0,20336.33333332,25.0,11.0,145.0,107.0,14.0,18.0,9.58455363,51.0,7.0,2.0,0.0,30.0,0.0,26296.0,3.0,20.0,2.0,6.0,207.0,0.0,0.0,0.0,1.0,114.0,189.0,3.65678322,57902.0,4.0,68.21666666666667,8.0,6.0,153.0
78,Baltimore Bandits,8,Away,199.3,DadKnows Best,136.9,-1,AWAY,5.0,199.3,7.0,24.0,24780.5,51.0,6.0,141.0,149.0,18.0,25.0,13.81728304,57.0,7.0,1.0,1.0,49.0,4.0,25415.0,0.0,35.0,7.0,13.0,245.0,0.0,3.0,3.0,0.0,145.0,220.0,3.5978606600000003,69009.0,3.0,78.29166666666666,12.0,8.0,102.0
79,Vasili's POD SQUAD,8,Away,209.5,Esther Island Esthers,173.2,-1,AWAY,4.0,209.5,20.0,39.0,25806.24999999,28.0,11.0,144.0,167.0,14.0,18.0,9.44729422,55.0,7.0,2.0,1.0,42.0,3.0,25549.0,2.0,12.0,2.0,12.0,248.0,4.0,0.0,4.0,0.0,124.0,230.0,3.7187718199999997,68172.0,2.0,82.58750000000002,11.0,9.0,80.0
80,Brown Shoes w/ a Black Belt?,9,Home,164.65,Team Ginsberg,233.35,-1,AWAY,9.0,164.65,1.0,22.0,22104.25000002,28.0,7.0,94.0,86.0,14.0,9.0,4.606580320000001,55.0,4.0,2.0,1.0,49.0,2.0,14070.0,0.0,14.0,4.0,12.0,119.0,0.0,0.0,0.0,0.0,138.0,110.0,1.84693878,64469.0,2.0,57.78666666666666,8.0,5.0,165.0
81,HC FirePucks,9,Home,172.95,Lausanne  Automatons ,170.65,-1,HOME,6.0,172.95,0.0,19.0,19407.16666666,29.0,6.0,130.0,108.0,14.0,9.0,5.65680495,53.0,5.0,3.0,0.0,32.0,1.0,17049.0,0.0,28.0,6.0,13.0,146.0,0.0,0.0,0.0,0.0,133.0,137.0,2.8185607900000003,60835.0,4.0,64.16666666666667,7.0,5.0,147.0
82,That Hoser Over There,9,Home,234.5,Esther Island Esthers,153.7,-1,HOME,2.0,234.5,2.0,38.0,25640.49999999,49.0,11.0,232.0,216.0,16.0,20.0,12.05861989,70.0,7.0,4.0,0.0,99.0,3.0,21605.0,1.0,29.0,4.0,15.0,201.0,0.0,0.0,0.0,1.0,191.0,181.0,2.61638465,84694.0,3.0,70.30916666666666,12.0,8.0,42.0
83,Baltimore Bandits,9,Home,167.75,Vasili's POD SQUAD,205.05,-1,AWAY,8.0,167.74999999999997,4.0,28.0,24867.41666667,39.0,7.0,143.0,142.0,11.0,19.0,12.661336250000002,61.0,7.0,0.0,0.0,44.0,4.0,25333.0,1.0,13.0,2.0,15.0,193.0,0.0,0.0,0.0,1.0,137.0,174.0,3.5347319399999995,73395.0,2.0,60.35,8.0,5.0,160.0
84,Carolina Tony,9,Home,248.35,DadKnows Best,201.6,-1,HOME,1.0,248.35000000000002,2.0,23.0,22613.33333333,38.0,8.0,169.0,197.0,30.0,13.0,6.56153518,57.0,4.0,3.0,1.0,49.0,1.0,14275.0,0.0,52.0,11.0,20.0,119.0,0.0,0.0,0.0,0.0,168.0,106.0,1.78010176,65066.0,3.0,93.40833333333333,12.0,11.0,30.0
85,Team Ginsberg,9,Away,233.35,Brown Shoes w/ a Black Belt?,164.65,-1,AWAY,3.0,233.35000000000005,-7.0,34.0,24102.08333333,43.0,14.0,98.0,92.0,15.0,13.0,6.4499362,61.0,7.0,3.0,1.0,39.0,2.0,24700.0,1.0,18.0,6.0,20.0,215.0,1.0,0.0,1.0,1.0,150.0,202.0,2.79115602,73730.0,4.0,71.05416666666666,8.0,6.0,45.0
86,Lausanne  Automatons ,9,Away,170.65,HC FirePucks,172.95,-1,HOME,7.0,170.64999999999998,3.0,21.0,18336.99999999,39.0,8.0,84.0,74.0,15.0,8.0,3.8932650100000004,52.0,4.0,1.0,0.0,80.0,1.0,14828.0,1.0,22.0,2.0,9.0,103.0,0.0,2.0,2.0,0.0,139.0,95.0,1.84679245,59958.0,2.0,55.633333333333326,7.0,5.0,152.0
87,Esther Island Esthers,9,Away,153.7,That Hoser Over There,234.5,-1,HOME,10.0,153.7,-8.0,22.0,23909.05,46.0,5.0,153.0,146.0,10.0,15.0,6.1403979,60.0,5.0,3.0,0.0,80.0,2.0,17087.0,1.0,8.0,4.0,12.0,147.0,0.0,0.0,0.0,1.0,114.0,132.0,1.80161788,72034.0,2.0,52.255833333333335,8.0,2.0,181.0
88,Vasili's POD SQUAD,9,Away,205.05,Baltimore Bandits,167.75,-1,AWAY,4.0,205.04999999999998,-4.0,33.0,21262.78333334,36.0,7.0,178.0,167.0,13.0,21.0,11.713417779999999,57.0,8.0,3.0,0.0,45.0,4.0,28440.0,0.0,48.0,3.0,13.0,261.0,0.0,0.0,0.0,1.0,134.0,240.0,3.6835673900000003,67082.0,4.0,71.1,9.0,6.0,89.0
89,DadKnows Best,9,Away,201.6,Carolina Tony,248.35,-1,HOME,5.0,201.6,16.0,31.0,16578.58333333,31.0,10.0,164.0,204.0,20.0,7.0,4.79269684,50.0,2.0,5.0,0.0,57.0,0.0,5258.0,0.0,28.0,11.0,19.0,37.0,1.0,0.0,1.0,0.0,139.0,30.0,0.81081081,54465.0,1.0,61.5875,11.0,7.0,97.0
90,HC FirePucks,10,Home,132.4,That Hoser Over There,160.85,-1,AWAY,6.0,132.39999999999998,2.0,8.0,14585.58333333,30.0,10.0,92.0,85.0,17.0,22.0,13.771108850000001,36.0,7.0,2.0,0.0,23.0,2.0,25525.0,2.0,18.0,4.0,4.0,197.0,0.0,1.0,1.0,0.0,93.0,175.0,3.4857803599999997,39413.0,3.0,51.60416666666666,8.0,6.0,207.0
91,Baltimore Bandits,10,Home,106.25,Brown Shoes w/ a Black Belt?,99.55,-1,HOME,8.0,106.25,-1.0,20.0,21854.66666667,25.0,7.0,126.0,172.0,10.0,14.0,14.161846559999999,44.0,3.0,3.0,0.0,34.0,2.0,10672.0,1.0,6.0,3.0,8.0,82.0,1.0,0.0,1.0,0.0,97.0,68.0,2.48349754,52198.0,0.0,39.45416666666666,7.0,5.0,225.5
92,Team Ginsberg,10,Home,156.55,Carolina Tony,188.95,-1,AWAY,3.0,156.54999999999998,1.0,21.0,17893.66666667,21.0,7.0,59.0,51.0,15.0,7.0,4.53271423,36.0,3.0,2.0,0.0,23.0,1.0,10707.0,0.0,8.0,5.0,10.0,102.0,2.0,0.0,2.0,0.0,106.0,95.0,1.86868686,42941.0,2.0,75.975,9.0,8.0,180.0
93,Vasili's POD SQUAD,10,Home,117.8,Lausanne  Automatons ,148.85,-1,AWAY,7.0,117.8,-2.0,20.0,19155.25000001,28.0,4.0,107.0,144.0,9.0,18.0,17.89594074,34.0,5.0,0.0,1.0,26.0,3.0,18128.0,1.0,30.0,3.0,10.0,173.0,0.0,0.0,0.0,0.0,82.0,155.0,4.46235687,41678.0,1.0,55.6625,10.0,5.0,217.0
94,Esther Island Esthers,10,Home,147.2,DadKnows Best,87.9,-1,HOME,5.0,147.2,-4.0,15.0,21769.5,34.0,5.0,121.0,125.0,11.0,21.0,10.24414206,46.0,7.0,3.0,0.0,44.0,2.0,24260.0,1.0,16.0,5.0,11.0,215.0,0.0,0.0,0.0,0.0,120.0,194.0,2.70572956,54680.0,4.0,58.05416666666667,7.0,6.0,190.0
95,That Hoser Over There,10,Away,160.85,HC FirePucks,132.4,-1,AWAY,2.0,160.85,-2.0,24.0,24227.50000001,26.0,5.0,144.0,115.0,13.0,13.0,6.942679099999999,43.0,5.0,1.0,1.0,44.0,3.0,18059.0,1.0,46.0,3.0,13.0,159.0,1.0,1.0,2.0,0.0,139.0,146.0,2.77809984,52832.0,1.0,70.69166666666666,10.0,8.0,172.0
96,Brown Shoes w/ a Black Belt?,10,Away,99.55,Baltimore Bandits,106.25,-1,HOME,9.0,99.55,2.0,7.0,19118.25000001,38.0,5.0,67.0,73.0,11.0,15.0,13.5917389,34.0,4.0,1.0,0.0,58.0,2.0,14555.0,1.0,8.0,3.0,5.0,136.0,0.0,0.0,0.0,0.0,87.0,121.0,2.6156653,40737.0,1.0,46.108333333333334,9.0,6.0,229.0
97,Carolina Tony,10,Away,188.95,Team Ginsberg,156.55,-1,AWAY,1.0,188.95,-1.0,28.0,23734.91666667,31.0,5.0,154.0,151.0,13.0,6.0,4.30695509,56.0,4.0,2.0,0.0,37.0,0.0,14896.0,1.0,15.0,3.0,16.0,122.0,1.0,0.0,1.0,0.0,140.0,116.0,2.85198412,66100.0,3.0,79.72083333333333,12.0,5.0,121.0
98,Lausanne  Automatons ,10,Away,148.85,Vasili's POD SQUAD,117.8,-1,AWAY,4.0,148.85000000000002,-4.0,27.0,22236.41666667,33.0,6.0,45.0,54.0,8.0,4.0,2.00055571,48.0,2.0,2.0,0.0,61.0,0.0,7198.0,0.0,26.0,2.0,12.0,59.0,1.0,0.0,1.0,0.0,114.0,55.0,0.93220339,55692.0,2.0,61.64166666666666,8.0,7.0,187.0
99,DadKnows Best,10,Away,87.9,Esther Island Esthers,147.2,-1,HOME,10.0,87.90000000000002,-4.0,16.0,16604.0,16.0,3.0,73.0,94.0,3.0,7.0,2.28447104,30.0,3.0,0.0,0.0,27.0,0.0,11031.0,0.0,14.0,0.0,3.0,82.0,0.0,0.0,0.0,0.0,71.0,75.0,0.91463415,33089.0,3.0,41.18333333333334,7.0,3.0,234.0
100,Baltimore Bandits,11,Home,175.45,Carolina Tony,182.35,-1,AWAY,3.0,175.45,-4.0,26.0,24566.16666666,31.0,7.0,169.0,186.0,13.0,19.0,9.27665457,48.0,6.0,3.0,0.0,36.0,0.0,22319.0,2.0,41.0,4.0,11.0,173.0,1.0,2.0,3.0,0.0,107.0,154.0,2.67325263,59476.0,4.0,73.91666666666667,11.0,7.0,142.0
101,HC FirePucks,11,Home,160.2,Vasili's POD SQUAD,169.0,-1,AWAY,6.0,160.2,10.0,26.0,18521.5,26.0,9.0,48.0,56.0,13.0,10.0,7.5099832200000005,35.0,4.0,2.0,0.0,22.0,1.0,14409.0,1.0,10.0,2.0,11.0,143.0,0.0,0.0,0.0,0.0,94.0,133.0,2.7387955600000002,40925.0,2.0,83.84583333333335,12.0,6.0,173.5
102,DadKnows Best,11,Home,98.4,That Hoser Over There,170.0,-1,AWAY,9.0,98.39999999999999,5.0,16.0,15153.13333334,11.0,6.0,96.0,113.0,10.0,0.0,0.0,31.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,10.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,35438.0,0.0,42.593333333333334,7.0,4.0,230.0
103,Brown Shoes w/ a Black Belt?,11,Home,136.25,Lausanne  Automatons ,135.05,-1,HOME,7.0,136.25,-6.0,21.0,19260.0,18.0,3.0,87.0,68.0,11.0,5.0,2.50138966,34.0,2.0,1.0,0.0,45.0,0.0,7196.0,0.0,12.0,1.0,9.0,64.0,0.0,0.0,0.0,0.0,94.0,59.0,0.921875,40297.0,2.0,65.29166666666667,8.0,7.0,199.0
104,Esther Island Esthers,11,Home,93.45,Team Ginsberg,186.1,-1,AWAY,10.0,93.45,8.0,14.0,12339.83333333,17.0,9.0,103.0,84.0,11.0,0.0,0.0,22.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,27133.0,0.0,43.733333333333334,6.0,6.0,232.0
105,Carolina Tony,11,Away,182.35,Baltimore Bandits,175.45,-1,AWAY,2.0,182.34999999999997,21.0,21.0,24551.00000001,26.0,11.0,159.0,180.0,19.0,7.0,3.50243224,46.0,3.0,3.0,1.0,43.0,1.0,10787.0,0.0,22.0,2.0,9.0,85.0,1.0,0.0,1.0,1.0,134.0,78.0,1.8870967699999999,54034.0,2.0,103.8875,14.0,9.0,134.0
106,Vasili's POD SQUAD,11,Away,169.0,HC FirePucks,160.2,-1,AWAY,5.0,169.00000000000003,1.0,17.0,24260.33333332,32.0,7.0,120.0,153.0,16.0,27.0,23.09535973,44.0,8.0,0.0,0.0,52.0,1.0,25156.0,1.0,25.0,5.0,8.0,215.0,0.0,1.0,1.0,0.0,108.0,188.0,4.23615567,52263.0,5.0,92.65,13.0,12.0,158.0
107,That Hoser Over There,11,Away,170.0,DadKnows Best,98.4,-1,AWAY,4.0,170.00000000000003,18.0,33.0,23535.66666666,23.0,4.0,112.0,106.0,14.0,22.0,17.54393855,40.0,5.0,3.0,0.0,51.0,2.0,16611.0,1.0,14.0,2.0,11.0,148.0,1.0,0.0,1.0,0.0,117.0,126.0,3.4373941300000004,48437.0,2.0,91.23333333333332,15.0,12.0,155.0
108,Lausanne  Automatons ,11,Away,135.05,Brown Shoes w/ a Black Belt?,136.25,-1,HOME,8.0,135.04999999999998,-1.0,15.0,17110.16666667,28.0,8.0,46.0,57.0,11.0,20.0,8.54770971,34.0,5.0,1.0,1.0,35.0,1.0,16129.0,0.0,6.0,5.0,9.0,141.0,3.0,0.0,3.0,0.0,100.0,121.0,1.73520583,38622.0,4.0,57.68750000000001,8.0,5.0,201.0
109,Team Ginsberg,11,Away,186.1,Esther Island Esthers,93.45,-1,AWAY,1.0,186.10000000000002,0.0,24.0,25510.16666666,32.0,7.0,70.0,70.0,13.0,11.0,4.79303405,39.0,6.0,1.0,0.0,29.0,1.0,21790.0,0.0,16.0,2.0,11.0,177.0,0.0,0.0,0.0,1.0,101.0,166.0,2.83235931,48733.0,5.0,95.33,13.0,12.0,125.0
110,Vasili's POD SQUAD,12,Home,206.95,DadKnows Best,68.75,-1,HOME,1.0,206.95000000000002,-11.0,26.0,22535.33333334,41.0,7.0,179.0,200.0,17.0,14.0,10.17911153,51.0,7.0,4.0,1.0,63.0,2.0,22475.0,0.0,24.0,4.0,11.0,185.0,1.0,1.0,2.0,0.0,134.0,171.0,4.616545739999999,60809.0,4.0,84.18333333333334,11.0,9.0,84.0
111,Lausanne  Automatons ,12,Home,106.25,Baltimore Bandits,106.95,-1,HOME,8.0,106.25000000000001,-2.0,15.0,13518.33333333,24.0,6.0,69.0,72.0,10.0,13.0,15.0,28.0,3.0,2.0,0.0,49.0,2.0,9600.0,0.0,28.0,1.0,6.0,108.0,0.0,2.0,2.0,0.0,74.0,95.0,2.62307692,32214.0,1.0,48.75000000000001,8.0,6.0,225.5
112,Carolina Tony,12,Home,183.7,Esther Island Esthers,103.05,-1,HOME,3.0,183.7,6.0,23.0,24811.33333334,26.0,6.0,152.0,166.0,17.0,14.0,5.8421225,49.0,5.0,5.0,1.0,59.0,1.0,17946.0,1.0,26.0,2.0,8.0,157.0,0.0,1.0,1.0,0.0,127.0,143.0,1.82164882,57132.0,3.0,77.28333333333335,12.0,10.0,131.0
113,Brown Shoes w/ a Black Belt?,12,Home,113.25,HC FirePucks,153.65,-1,AWAY,6.0,113.25000000000001,-5.0,15.0,12781.66666667,19.0,6.0,19.0,17.0,11.0,19.0,7.82995153,29.0,5.0,0.0,0.0,28.0,2.0,18186.0,1.0,24.0,5.0,7.0,173.0,0.0,0.0,0.0,0.0,63.0,154.0,1.76317331,31670.0,2.0,45.22500000000001,8.0,5.0,220.0
114,That Hoser Over There,12,Home,194.7,Team Ginsberg,151.75,-1,HOME,2.0,194.70000000000002,-6.0,28.0,20393.0,31.0,7.0,73.0,80.0,17.0,16.0,11.82281912,41.0,5.0,1.0,1.0,41.0,1.0,16429.0,0.0,17.0,3.0,15.0,140.0,0.0,0.0,0.0,0.0,137.0,124.0,2.60564888,49318.0,3.0,78.26666666666667,12.0,8.0,106.0
115,DadKnows Best,12,Away,68.75,Vasili's POD SQUAD,206.95,-1,HOME,10.0,68.75,-5.0,15.0,11012.99999999,13.0,4.0,80.0,108.0,3.0,3.0,1.51791989,28.0,2.0,0.0,0.0,15.0,1.0,7115.0,0.0,20.0,1.0,6.0,41.0,0.0,0.0,0.0,0.0,62.0,38.0,0.92682927,30249.0,1.0,24.250000000000004,4.0,1.0,238.0
116,Baltimore Bandits,12,Away,106.95,Lausanne  Automatons ,106.25,-1,HOME,7.0,106.94999999999999,-6.0,18.0,19912.0,31.0,5.0,126.0,135.0,10.0,24.0,14.393345270000001,41.0,6.0,3.0,0.0,33.0,5.0,20209.0,0.0,32.0,2.0,7.0,186.0,0.0,0.0,0.0,0.0,96.0,162.0,2.50714286,47586.0,1.0,40.40833333333333,8.0,4.0,224.0
117,Esther Island Esthers,12,Away,103.05,Carolina Tony,183.7,-1,HOME,9.0,103.05,-2.0,13.0,13572.99999999,30.0,5.0,73.0,80.0,7.0,15.0,5.3872315099999994,29.0,5.0,1.0,0.0,31.0,2.0,19544.0,1.0,8.0,2.0,5.0,154.0,0.0,0.0,0.0,0.0,84.0,139.0,1.8107173699999999,35267.0,3.0,39.58333333333333,6.0,2.0,227.0
118,HC FirePucks,12,Away,153.65,Brown Shoes w/ a Black Belt?,113.25,-1,AWAY,4.0,153.65,5.0,14.0,18222.83333334,20.0,7.0,80.0,56.0,11.0,9.0,5.01398601,38.0,5.0,3.0,0.0,27.0,0.0,17975.0,0.0,14.0,2.0,6.0,189.0,0.0,0.0,0.0,0.0,104.0,180.0,2.8507501900000003,43538.0,5.0,69.13333333333335,9.0,6.0,182.0
119,Team Ginsberg,12,Away,151.75,That Hoser Over There,194.7,-1,HOME,5.0,151.75,12.0,23.0,20743.16666666,23.0,7.0,104.0,92.0,14.0,5.0,2.55536627,44.0,2.0,3.0,0.0,34.0,1.0,7044.0,0.0,22.0,5.0,10.0,67.0,1.0,0.0,1.0,0.0,131.0,62.0,0.92537313,53558.0,1.0,58.38333333333334,9.0,6.0,184.0
120,Lausanne  Automatons ,13,Home,176.6,Esther Island Esthers,167.45,-1,HOME,3.0,176.60000000000002,7.0,23.0,19965.66666666,33.0,7.0,77.0,86.0,18.0,9.0,6.86246076,43.0,3.0,2.0,1.0,48.0,2.0,9897.0,0.0,8.0,8.0,17.0,97.0,1.0,1.0,2.0,0.0,108.0,88.0,1.80298786,49186.0,1.0,66.96666666666667,10.0,6.0,140.0
121,Vasili's POD SQUAD,13,Home,169.85,Brown Shoes w/ a Black Belt?,120.15,-1,HOME,4.0,169.85000000000002,5.0,22.0,20970.83333332,32.0,12.0,122.0,121.0,16.0,9.0,6.47489304,41.0,4.0,2.0,0.0,23.0,1.0,14517.0,1.0,29.0,4.0,10.0,111.0,2.0,2.0,4.0,1.0,104.0,102.0,2.7682139599999998,46837.0,2.0,75.95,12.0,11.0,156.0
122,Team Ginsberg,13,Home,179.65,DadKnows Best,78.9,-1,HOME,2.0,179.65000000000006,29.0,24.0,21137.66666666,29.0,10.0,102.0,70.0,19.0,17.0,10.357562810000001,42.0,6.0,3.0,0.0,27.0,2.0,21445.0,1.0,16.0,2.0,7.0,174.0,1.0,1.0,2.0,0.0,96.0,157.0,3.6529150799999996,50298.0,3.0,87.82083333333333,14.0,10.0,137.0
123,Baltimore Bandits,13,Home,146.05,HC FirePucks,134.45,-1,HOME,6.0,146.04999999999998,11.0,24.0,26283.66666666,28.0,3.0,122.0,123.0,15.0,3.0,3.08747856,53.0,1.0,5.0,0.0,47.0,1.0,3498.0,0.0,20.0,2.0,9.0,31.0,0.0,0.0,0.0,0.0,112.0,28.0,0.90322581,63135.0,0.0,69.43333333333334,11.0,7.0,191.0
124,That Hoser Over There,13,Home,251.3,Carolina Tony,138.65,-1,HOME,1.0,251.29999999999998,27.0,32.0,23423.91666666,43.0,8.0,116.0,120.0,21.0,12.0,7.1833205499999995,48.0,6.0,2.0,2.0,51.0,1.0,21823.0,0.0,23.0,6.0,15.0,161.0,0.0,0.0,0.0,1.0,155.0,149.0,3.6901709400000002,56654.0,5.0,105.81666666666663,16.0,12.0,23.5
125,Esther Island Esthers,13,Away,167.45,Lausanne  Automatons ,176.6,-1,HOME,5.0,167.45000000000002,-18.0,20.0,20761.08333333,27.0,7.0,132.0,139.0,12.0,17.0,11.0940938,48.0,6.0,3.0,0.0,62.0,2.0,21548.0,0.0,14.0,1.0,10.0,203.0,0.0,1.0,1.0,1.0,97.0,186.0,2.70793019,56478.0,4.0,59.325,9.0,4.0,161.0
126,Brown Shoes w/ a Black Belt?,13,Away,120.15,Vasili's POD SQUAD,169.85,-1,HOME,9.0,120.15000000000002,-5.0,13.0,19364.83333334,38.0,4.0,41.0,30.0,9.0,9.0,4.66854979,38.0,4.0,1.0,0.0,38.0,2.0,14006.0,0.0,10.0,5.0,10.0,137.0,0.0,0.0,0.0,0.0,95.0,128.0,1.8642213600000002,44826.0,2.0,57.40000000000001,7.0,4.0,216.0
127,DadKnows Best,13,Away,78.9,Team Ginsberg,179.65,-1,HOME,10.0,78.9,1.0,19.0,13449.0,17.0,6.0,104.0,114.0,4.0,3.0,2.76923077,30.0,1.0,1.0,0.0,17.0,0.0,3900.0,1.0,12.0,2.0,6.0,18.0,3.0,0.0,3.0,0.0,73.0,15.0,0.83333333,34847.0,0.0,26.525000000000002,4.0,2.0,236.0
128,HC FirePucks,13,Away,134.45,Baltimore Bandits,146.05,-1,HOME,8.0,134.45,-6.0,19.0,20636.0,20.0,6.0,101.0,84.0,10.0,19.0,9.80483056,40.0,6.0,2.0,0.0,45.0,2.0,19700.0,1.0,22.0,2.0,10.0,182.0,0.0,0.0,0.0,0.0,94.0,163.0,2.69279101,43167.0,3.0,64.3375,11.0,6.0,203.0
